Bevezető;Ennek a könyvnek te vagy hőse. Te vívsz meg a kocka segítségévelaz óriásokkal és a szörnyekkel, magad döntesz, hogy merre haladjtovább, kivel barátkozz és kivel csatázz. Nem pusztán az írófantáziája irányítja a történetet, hanem a te bátorságod,kíváncsiságod, leleményességed, kalandvágyad és józan eszed is.Játék és regény egyszerre, amit a kezedben tartasz. Kalandosvállalkozás, amelybe bele is lehet bukni, de ha jól döntesz, sikerreljársz.Így hát ezt a könyvet ne úgy olvasd, ahogy egyébként olvasniszoktál. Mint látod, itt még az oldalak sincsenek megszámozva abevezető után, hanem a hosszabb-rövidebb bekezdések viselnekszámokat egytől négyszázig. Ezek között előre-hátra lapozva haladszelőre a történetben a saját igényeid szerint. Ha kardot rántasz azellenségre, máshová lapozol, mintha elbújnál előle.Barbár harcosok, varázslók, szörnyetegek, törpék népesítik be ezt afantasztikus világot. Mi kell ahhoz, hogy ne bukj el közöttük? Csakaz, ami a mindennapi élethez is: ügyesség, jártasság, ötletesség, az,hogy felkészülten várd a nehézségeket.És Szerencse, amely nélkül az előző három talán mit sem ér, de hacsak erre számítasz, biztosan cserbenhagy.Hogy mit jelent az ÜGYESSÉG, ÉLETERŐ és SZERENCSE ebben akönyvben, megtudod a következőkből. Ha netán nem lenne teljesenvilágos a dolog, ne törődj vele, bátran előre! Vágj neki azolvasásnak, menet közben minden a helyére kerül! De haelfelejtenéd, hogyan kell jól megvívni egy csatát, hogyanmenekülhetsz, hogyan gyógyíthatod magad a játék szabályai szerint,nyugodtan visszalapozhatsz.
Harc a szörnyekkel;Mielőtt belevágnál ebbe a kalandba, fel kell mérned, mennyire vagyerős, illetve gyenge. Van kardod és pajzsod az útra, meg egyhátizsákod étellel-itallal. Felkészültél a feladatra, megtanultál akarddal bánni, és keményen edzettél, hogy erős légy.Dobókockával döntsd el kezdő ÜGYESSÉG és ÉLETERŐ pontjaidat,hogy megtudd, milyen hatékonyak voltak előkészületeid. A 16.oldalon találod a Kalandlapot, amelyre feljegyezheted kalandodrészleteit. Ugyanitt jelölheted ÜGYESSÉG és ÉLETERŐ pontjaidat is.Jól teszed, ha ceruzával írod a pontokat a Kalandlapra vagyfénymásolatot készíttetsz erről az oldalról, hogy újabb játékra isfelhasználhasd.
ÜGYESSÉG, ÉLETERŐ ÉS SZERENCSE;Dobj az egyik kockával. Adj 6-ot a dobott számhoz, és az összegetírd be a Kalandlap ÜGYESSÉG négyzetébe.Dobj mindkét kockával, az eredményhez adjál 12-t, a kapott számotírd be az ÉLETERŐ négyzetbe.Van egy SZERENCSE rovat is. Ehhez egy kockával dobj, és 6-ot adjaz eredményhez, majd az összeget írd be a SZERENCSE négyzetbe.Különböző okok miatt, melyeket majd részletesen elmagyarázunk,ÜGYESSÉG, ÉLETERŐ és SZERENCSE pontjaid a kalandok soránfolyamatosan változnak. Pontosan kell vezetned őket, ezért azttanácsoljuk, hogy kis betűkkel írj a négyzetekbe vagy tarts kéznélradírt. De soha ne töröld ki a kezdőpontjaidat, mert szerezhetszugyan további ÜGYESSÉG, ÉLETERŐ és SZERENCSE pontokat, deösszegük soha nem lépheti túl a kezdeti értéket, kivéve néhánynagyon ritka alkalmat, amikor a megfelelő oldalon ezt az utasítástkapod.ÜGYESSÉG pontjaid kardvívó tudásodat és általános harckészségedetmutatják. Nem árt minél több ilyen pontra szert tenni. Az ÉLETERŐpontok jelzik kondíciódat, az akaraterődet, hogy túlélj egy-egyhelyzetet, továbbá eltökéltségedet és állóképességedet, minélmagasabb az ÉLETERŐ pontszám, annál hosszabb ideig maradhatszéletben. A SZERENCSE pontok mutatják, mennyire vagy szerencsésember.A szerencse és a varázslat az úr abban a fantasztikus birodalomban,amelybe most behatolsz.
A CSATA;Sűrűn találsz majd olyan oldalakat, ahol azt az utasítást kapod, hogyküzdj meg valamilyen teremtménnyel. Lehet, hogy lesz választásilehetőséged, ha mégsem, vagy ha úgy döntesz, hogy vállalod aharcot, azt a következő módon kell megvívnod:Először is jegyezd fel a teremtmény ÜGYESSÉGÉT és ÉLETEREJÉT a Kalandlapod első üres, „Harc a Szörnyekkel” feliratot viselő rovatába.A teremtmények pontszámait minden alkalommal megadja a könyv,amikor összecsapsz valamelyikükkel.
1.;Dobj két dobókockával a teremtmény nevében. A kapott számotadd az Ő ÜGYESSÉG pontjaihoz. Az összeg az Ő TÁMADÓEREJE.
2.;Dobj két kockával a magad nevében, és add az eredményt sajátjelenlegi ÜGYESSÉG pontjaidhoz. Ez a te TÁMADÓERŐD.
3.;Ha a te TÁMADÓERŐD nagyobb, minta teremtményé, akivelküzdesz, megsebezted. Menj tovább a 4. lépésre. Ha a teremtményTÁMADÓEREJE nagyobb, ő sebzett meg téged, tehát haladj az 5.lépésre. Ha a két TÁMADÓERŐ egyforma, kivédtétek egymáscsapását, és a következő Fordulót az 1. lépéstől elölről kezdheted.
 4. ;Megsebezted a teremtményt, ezért vonj le 2 pontot azÉLETEREJÉBŐL. Felhasználhatod a SZERENCSÉDET is, hogy továbbisebeket ejts rajta (lásd később).
5.;A teremtmény sebzett meg téged, ezért vonj le 2 pontot sajátÉLETERŐDBŐL. De ilyenkor is lehet SZERENCSÉD (lásd később).
6.; Ellenőrizd a teremtmény ÉLETERŐ pontjait vagy a sajátpontjaidat, és a SZERENCSE pontokat is, ha a SZERENCSÉHEZfolyamodtál (lásd később).
